_exercise,emg_chest_1,emg_chest_2,emg_chest_3,emg_chest_4,emg_forearm_1,emg_forearm_2,emg_forearm_3,emg_forearm_4,emg_upper_arm_1,emg_upper_arm_2,emg_upper_arm_3,emg_upper_arm_4,pitch_forearm_1,pitch_forearm_2,pitch_forearm_3,pitch_forearm_4,pitch_upper_arm_1,pitch_upper_arm_2,pitch_upper_arm_3,pitch_upper_arm_4,roll_forearm_1,roll_forearm_2,roll_forearm_3,roll_forearm_4,roll_upper_arm_1,roll_upper_arm_2,roll_upper_arm_3,roll_upper_arm_4
bicep curl,81.980666392410654,61.272315919385434,184.23323735089093,91.046894282160508,58.564376799732329,406.82928835874543,496.94940353763974,416.26779103249066,279.9428218841224,864.71369806676796,1016.6075689016824,1022.9999999999985,-26.600316742080775,-34.161896338958215,-39.191217605920933,-37.953155080217762,0.0,0.0,0.0,0.0,-63.102842451666376,-55.620970793908057,-33.727535993413142,-17.81322089674336,0.0,0.0,0.0,0.0
bicep curl,58.992595639632277,100.28054298645561,79.412998765906323,99.456602221341413,274.94364459070437,212.6544631838658,208.51460304399444,121.89304812833423,1021.0995475112724,883.07733443032282,960.73714520765475,623.97120526525441,-44.282570958453888,-34.944232825994476,-33.666511723570864,-32.408679555737145,0.0,0.0,0.0,0.0,-10.101777046484646,-31.074282188404435,-43.170691073637087,-54.743245577953559,0.0,0.0,0.0,0.0
bicep curl,152.56396544630658,16.032908268186151,129.49280131635302,81.683257918535247,871.2661456192094,942.50143973675767,1022.3290826819575,288.73673385424161,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,-15.821369806661753,-15.450974907451126,-33.214800493624857,-33.271143562318699,0.0,0.0,0.0,0.0,32.882900041137304,31.286042780742669,5.3328054298567622,-15.961703002882928,0.0,0.0,0.0,0.0
bicep curl,107.39078568492431,76.916906622771805,71.927190456623677,158.13204442616438,70.288358700150283,170.03743315509331,151.81777046481488,177.97285067874998,373.40189222555114,995.30234471417191,1011.3208556149719,1022.9999999999985,-30.041538461538398,-28.966412998766714,-29.128539695597016,-31.681958041959366,0.0,0.0,0.0,0.0,-58.82110242698468,-55.657716988888275,-26.690028794728946,-9.445927601806682,0.0,0.0,0.0,0.0
bicep curl,82.900452488660363,57.912793089297509,202.72480460715403,116.68696009869686,163.04236939531555,179.39037433156528,191.42369395311115,169.82723159193506,316.36528177713296,844.85767174015621,1027.4603044014752,1022.9999999999985,-28.066984779926116,-30.865063759771122,-34.298103661044124,-33.438272315919527,0.0,0.0,0.0,0.0,-61.922994652406139,-55.643447141090064,-34.488473879057608,-22.926791443848373,0.0,0.0,0.0,0.0
bicep curl,162.12793089261595,44.35294117647998,63.138214726457676,225.04031262858766,28.916495269435377,75.654463183946717,621.58412176066372,500.38214726453964,159.80378445085961,569.36363636385727,1057.2801316330579,1022.9999999999985,-32.311661867544359,-30.771036610447553,-36.863290826823402,-29.620830933767689,0.0,0.0,0.0,0.0,-57.606622788975457,-59.162879473468287,-40.722969971192462,6.8424886877918638,0.0,0.0,0.0,0.0
bicep curl,167.72398190044893,69.392842451640519,59.9572192513685,152.80419580416941,396.26408885232979,644.29370629388188,1052.2813656931176,1022.9999999999985,1021.1888111888098,1022.9999999999985,1022.9999999999985,1022.9999999999985,-37.947967914441413,-29.342657342652799,-18.140542986423718,-16.160732208971247,0.0,0.0,0.0,0.0,-13.51196215548158,19.90385438092035,49.601431509673226,45.147079391189898,0.0,0.0,0.0,0.0
bicep curl,156.50596462357444,3.5968737145137961,118.45907034145003,74.270259152586931,426.36281365699682,775.8737145208903,971.26737967902955,353.61497326193324,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,-49.540419580416653,-40.226861373916613,-29.800921431513075,-49.819016865491115,0.0,0.0,0.0,0.0,13.085783628139808,23.630789798439757,31.910320855612696,14.402554504313173,0.0,0.0,0.0,0.0
bicep curl,99.927601809987138,151.72562731383044,30.28506787334176,210.81818181816385,415.06458247631554,861.96256684509137,983.90826820238397,1008.0612916494572,1022.9999999999985,1022.9999999999985,1023.1842863019318,1039.5022624434421,-46.974611271080555,-30.833253805015609,-34.160497737558181,-43.643990127523445,0.0,0.0,0.0,0.0,23.280596462363995,37.963747429044851,33.947190456599493,24.811172357050491,0.0,0.0,0.0,0.0
bicep curl,11.690662278889224,151.27725215965518,130.02550390780749,37.179350061726602,18.98231180584807,299.96585767180113,283.06787330317798,383.90127519538436,348.69806663925556,697.05923488294809,1038.1316330727996,1022.9999999999985,-33.716696832579139,-30.944590703412405,-38.040756890171345,-40.875890580011017,0.0,0.0,0.0,0.0,-55.839432332373384,-58.702595639655499,-34.786807897974469,-14.901349238992028,0.0,0.0,0.0,0.0
